name,Symbol
Ascension Capital,ACE.NZ
AFC Group,AFC.NZ
Australian Foundation Investment Company,AFI.NZ
AFT Pharmaceuticals,AFT.NZ
Smartshares Global Aggregarte Bond ETF,AGG.NZ
Accordant Group,AGL.NZ
Auckland International Airport,AIA.NZ
Air New Zealand,AIR.NZ
Allied Farmers,ALF.NZ
Australia & New Zealand Banking Group,ANZ.NZ
The Asia Pacific Trust,APA.NZ
Asset Plus,APL.NZ
ArborGen Holdings,ARB.NZ
Argosy Property,ARG.NZ
Arvida Group,ARV.NZ
Smartshares Australian Dividend ETF,ASD.NZ
Smartshares Australian Financials ETF,ASF.NZ
Smartshares Australian Property ETF,ASP.NZ
Smartshares Australian Resources ETF,ASR.NZ
The a2 Milk Company,ATM.NZ
Smartshares S&P/ASX 200 ETF,AUS.NZ
Burger Fuel,BFG.NZ
Blackwell Global Holdings,BGI.NZ
Briscoe Group,BGP.NZ
The Bankers Investment Trust plc,BIT.NZ
Blis Technologies,BLT.NZ
Smartshares Automation and Robotics ETF,BOT.NZ
Barramundi,BRM.NZ
Cannasouth,CBD.NZ
Contact Energy,CEN.NZ
Cooks Global Foods,CGF.NZ
The Colonial Motor Company,CMO.NZ
Chorus,CNU.NZ
Chatham Rock Phosphate,CRP.NZ
Comvita Limited,CVT.NZ
Delegat Group,DGL.NZ
Smartshares NZ Dividend ETF,DIV.NZ
Downer EDI Works,DOW.NZ
Ebos Group,EBO.NZ
Smartshares Emerging Markets ETF,EMF.NZ
Smartshares Emerging Markets Equities ESG ETF,EMG.NZ
Enprise Group,ENS.NZ
EROAD Limited,ERD.NZ
Smartshares Global Equities ESG ETF,EUG.NZ
Smartshares Europe ETF,EUF.NZ
Smartshares Europe Equities ESG ETF,EUG.NZ
Evolve Education Group,EVO.NZ
Fletcher Building,FBU.NZ
Smartshares NZ Top 50 ETF,FNZ.NZ
Fisher & Paykel Healthcare,FPH.NZ
Freightways,FRE.NZ
Fonterra Shareholder's Fund,FSF.NZ
Foley Wines,FWL.NZ
Smartshares Global Bond ETF,GBF.NZ
General Capital,GEN.NZ
Geo Limited,GEO.NZ
Geneva Finance,GFL.NZ
Goodman Property Trust,GMT.NZ
Genesis Energy Limited,GNE.NZ
Good Spirits Hospitality,GSH.NZ
Gentrack Group Ltd,GTK.NZ
Goodwood Capital,GWC.NZ
Green Cross Health,GXH.NZ
Henderson Far East Fund,HFL.NZ
Heartland Group Holdings,HGH.NZ
Hallenstein Glassons Holdings,HLG.NZ
Harmoney Group,HMY.NZ
Infratil,IFT.NZ
ikeGPS,IKE.NZ
Investore Property,IPL.NZ
Just Life Group,JLG.NZ
JPMorgan Global Growth & Income plc,JPG.NZ
Smartshares Japan Equities ESG ETF,JPN.NZ
Kingfish Limited,KFL.NZ
KMD Brands,KMD.NZ
Kiwi Property,KPG.NZ
Livestock Improvement Corporation,LIC.NZ
Smartshares Healthcare Innovation ETF,LIV.NZ
Millennium & Copthorne Hotels,MCK.NZ
Millennium & Copthorne Hotels New Zealand Preference,MCKPA.NZ
Mercury Energy,MCY.NZ
Smartshares NZ Mid Cap ETF,MDZ.NZ
Me Today,MEE.NZ
Meridian Energy,MEL.NZ
Mainfreight,MFT.NZ
Michael Hill Jeweller,MHJ.NZ
MHM Automation,MHM.NZ
Marlin Global,MLN.NZ
Marsden Maritime Holding,MMH.NZ
Metro Performance Glass,MPG.NZ
Marlborough Wine Estates Group,MWE.NZ
Smartshares Australian Mid Cap ETF,MZY.NZ
Smartshares S&P/NZX NZ Government Bond ETF,NGB.NZ
New Zealand Property Trust,NPF.NZ
Napier Port Holdings,NPH.NZ
New Talisman Gold Mines,NTL.NZ
NZ Windfarms,NWF.NZ
Smartshares NZ Bond ETF,NZB.NZ
Smartshares NZ Cash ETF,NZC.NZ
Smartshares S&P/NZX 50 ETF,NZG.NZ
NZ King Salmon Investments,NZK.NZ
New Zealand Rural Land Company,NZL.NZ
New Zealand Media and Entertainment,NZM.NZ
New Zealand Oil & Gas,NZO.NZ
The New Zealand Refining Company,NZR.NZ
NZX,NZX.NZ
Oceania Healthcare,OCA.NZ
Smartshares Australian Top 20 ETF,OZY.NZ
Precinct Properties New Zealand,PCT.NZ
Pacific Edge Limited,PEB.NZ
Property for Industry,PFI.NZ
PGG Wrightson,PGW.NZ
Promisia Healthcare,PHL.NZ
Port of Tauranga,POT.NZ
Pushpay Holdings,PPH.NZ
Plexure Group,PX1.NZ
PaySauce Limited,PYS.NZ
QEX Logistics Limited,QEX.NZ
Radius Residential Care,RAD.NZ
Rakon,RAK.NZ
Restaurant Brands,RBD.NZ
RUA Bioscience,RUA.NZ
Ryman Healthcare,RYM.NZ
Sanford Limited,SAN.NZ
Scales Corporation,SCL.NZ
Scott Technology,SCT.NZ
Smiths City,SCY.NZ
Solution Dynamics,SDL.NZ
Seeka Kiwifruit Industries,SEK.NZ
SkyCity Entertainment Group,SKC.NZ
Skellerup,SKL.NZ
Serko,SKO.NZ
Sky Network Television,SKT.NZ
Synlait,SML.NZ
SMW Group,SMW.NZ
Southern Charter Financial Group,SNC.NZ
Stride Property & Stride Investment Management,SPG.NZ
Spark New Zealand,SPK.NZ
South Port New Zealand,SPN.NZ
Smartpay Holdings,SPY.NZ
Steel & Tube,STU.NZ
Summerset Group,SUM.NZ
Third Age Health Services,TAH.NZ
City of London Investment Trust,TCL.NZ
Templeton Emerging Markets Investment Trust,TEM.NZ
T&G Global,TGG.NZ
Tourism Holdings,THL.NZ
Smartshares NZ Top 10 ETF,TNZ.NZ
Trustpower,TPW.NZ
Turners Automotive Group,TRA.NZ
TruScreen Limited,TRU.NZ
Smartshares Total World ETF,TWF.NZ
Smartshares Total World (NZD Hedged) ETF,TWH.NZ
Tower Insurance,TWR.NZ
Smartshares US Equities ESG ETF,USA.NZ
Smartshares US 500 ETF,USF.NZ
Smartshares US Large Growth ETF,USG.NZ
Smartshares US Mid Cap ETF,USM.NZ
Smartshares US Small Cap ETF,USS.NZ
Smartshares US Large Value ETF,USV.NZ
Vector,VCT.NZ
Vista Group International,VGL.NZ
Vital Healthcare Property Trust,VHP.NZ
Vital Limited,VTL.NZ
Westpac,WBC.NZ
Wellington Drive Technologies,WDT.NZ
The Warehouse Group,WHS.NZ
Z Energy,ZEL.NZ
